requirement_id,source_section,category,requirement,submission_required,confidence99_required,phd_defense_required,obligation_ids,closure_condition,derived_status,next_action
BUNDLE-09,Evidence bundle,release governance,Maintain a locked formal project and coverage manifest.,YES,YES,NO,FORMAL-CLEAN,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-10,Evidence bundle,release governance,Maintain primary and independent computation trees.,YES,YES,NO,COMP-INDEPENDENT,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-11,Evidence bundle,release governance,Maintain cryptographic hashes for all proof inputs and receipts.,YES,YES,NO,COMP-ENV;DETERMINISM,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-12,Evidence bundle,release governance,Print PASS only when every requirement for the selected profile is closed.,YES,YES,NO,MUTATIONS,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-13,Evidence bundle,release governance,"Print zero open obligations, citations, family cases, exceptions, hashes, mismatches, nondeterminism, skips, and manuscript drift before a pass.",YES,YES,NO,MUTATIONS;DETERMINISM;MANUSCRIPT-CODE,"The named artifact exists, is hash-bound where appropriate, and is exercised by the gate.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
BUNDLE-14,Evidence bundle,generated reports,Generate stop-ship and submission reports deterministically from the current ledger instead of maintaining counts and blocker prose by hand.,YES,YES,NO,AUDIT-REPORTS,Both human-facing reports reproduce byte-for-byte from canonical audit inputs.,PASS,"Run update_reports.py --write after intentional ledger/policy changes, then verify."
COND-01,99% threshold,assumption boundary,"State that any 99% confidence is conditional on CFSG, cited classifications, Atlas/CTblLib data, and trusted software/kernel layers.",YES,YES,NO,SRC-CFSG-PINPOINT;COMP-ENV;MANUSCRIPT-CODE,ASSUMPTIONS.md and the manuscript/report state the external trust boundary.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
COND-02,99% threshold,honest status,Never describe the release as 99% while any confidence99 requirement is open.,YES,YES,NO,MANUSCRIPT-CODE;MUTATIONS,Manuscript wording and the confidence99 gate both forbid a 99% statement while any confidence99 requirement remains open.,PASS,Keep the no-99% wording until submission-gate.sh confidence99 prints PASS.
PHD-01,Sole-author gate,defense readiness,Explain why a minimal counterexample has socle S^k.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-02,Sole-author gate,defense readiness,Explain why coordinate closure gives t dividing x^k k!.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-03,Sole-author gate,defense readiness,Construct B_V and derive its exact order.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-04,Sole-author gate,defense readiness,Explain the role of normal saturation in maximality.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-05,Sole-author gate,defense readiness,Explain why distinct stable classes give nonconjugate maximal subgroups.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-06,Sole-author gate,defense readiness,Explain the valuation contradiction for all k.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-07,Sole-author gate,defense readiness,Explain why the primitive prime avoids both selected Levi factors.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-08,Sole-author gate,defense readiness,Explain what graph and graph-field automorphisms change.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-09,Sole-author gate,defense readiness,Explain what the computations prove and do not prove.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-10,Sole-author gate,defense readiness,Reconstruct complete CFSG-family coverage.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-11,Sole-author gate,defense readiness,Answer what fails without normal saturation.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-12,Sole-author gate,defense readiness,Answer what fails without X-stability.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-13,Sole-author gate,defense readiness,Explain why unique order can force outer-automorphism stability for a sporadic class.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-14,Sole-author gate,defense readiness,"Explain why 7,892 tests do not prove an infinite family theorem.",NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
PHD-15,Sole-author gate,defense readiness,Explain why the k! term does not defeat the valuation bound.,NO,NO,YES,DEFENSE-READINESS,A documented independent mock defense confirms an unaided correct reconstruction.,OPEN,Complete the written reconstruction and an independently assessed oral mock defense; do not conflate this with theorem correctness.
OPS-01,Repository operations,writer instructions,"Provide a writer-facing README explaining quick, full, submission, and 99% gates and how to respond to failures.",YES,YES,NO,MANUSCRIPT-CODE,"The guide exists, is linked from agent instructions, and forbids manual status/count edits.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
OPS-02,Repository operations,agent instructions,Require both AGENTS.md and CLAUDE.md to follow the same binary gate policy.,YES,YES,NO,MANUSCRIPT-CODE,Both root instruction files link the writer guide and burden matrix.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
OPS-03,Repository operations,ignore policy,"Ignore only transient caches/build products while keeping proof receipts, locks, manifests, and reports trackable.",YES,YES,NO,DETERMINISM,Scoped .gitignore rules do not hide required evidence.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
